City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,waitangi,-43.9535,-176.5597,14.9,74,96,0.98,NZ,1702069349
1,santa cruz,-17.8,-63.1667,28.03,65,75,7.2,BO,1702069211
2,sitka,57.0531,-135.33,4.94,81,100,8.75,US,1702069351
3,edinburgh of the seven seas,-37.0676,-12.3116,15.81,89,100,14.07,SH,1702069351
4,enewetak,11.3474,162.3373,27.44,78,92,10.04,MH,1702069351
5,aasiaat,68.7098,-52.8699,-12.59,98,85,2.83,GL,1702069351
6,port-aux-francais,-49.35,70.2167,3.85,78,92,14.15,TF,1702069352
7,ushuaia,-54.8,-68.3,13.81,58,0,3.6,AR,1702069198
8,bethel,41.3712,-73.414,8.05,57,75,2.57,US,1702069353
9,papatowai,-46.5619,169.4708,17.23,46,100,3.08,NZ,1702069353
10,utrik,11.2278,169.8474,26.99,76,55,9.11,MH,1702069353
11,acarau,-2.8856,-40.12,27.97,80,100,11.23,BR,1702069270
12,saipan,15.1355,145.701,28.22,78,100,8.79,MP,1702069354
13,albany,42.6001,-73.9662,3.98,93,98,1.28,US,1702069235
14,al kharijah,25.4514,30.5464,15.68,39,0,1.98,EG,1702069355
15,paka,4.6374,103.4368,24.96,100,100,0.0,MY,1702069355
16,iqaluit,63.7506,-68.5145,-17.95,77,20,3.09,CA,1702069290
17,mili,6.0815,171.735,27.96,78,97,7.74,MH,1702069356
18,hadibu,12.65,54.0333,24.63,70,34,5.18,YE,1702069356
19,forres,57.6113,-3.6108,9.01,92,100,6.69,GB,1702069358
20,puerto ayora,-0.7393,-90.3518,28.98,91,80,1.34,EC,1702069358
21,santyoku,37.4406,129.1708,12.29,78,8,5.17,KR,1702069358
22,blackmans bay,-43.0167,147.3167,13.07,90,100,2.64,AU,1702069359
23,makamba,-4.1348,29.804,17.99,90,100,0.63,BI,1702069359
24,new norfolk,-42.7826,147.0587,13.73,96,100,0.82,AU,1702069359
25,adamstown,-25.066,-130.1015,22.53,82,100,5.44,PN,1702069348
26,bopolu,7.0667,-10.4875,25.07,84,80,1.18,LR,1702069360
27,nahiyat al fuhud,30.9697,46.7228,20.61,28,37,4.0,IQ,1702069360
28,keflavik,64.0049,-22.5624,-0.76,69,0,2.06,IS,1702069361
29,olonkinbyen,70.9221,-8.7187,-2.41,80,100,6.38,SJ,1702069361
